  101 ! (c) 2018 Oklahoma Climatological Survey and the Oklahoma Mesonet - all rights reserved
  21 2018 04 13 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 SEIL    83     0      6   36.0   11.1   11.0   213    6.2    1.3   14.9    0.00   931.38   222   36.0    8.6   18.5   22.7   20.3   16.1   13.6    2.22    2.23    3.38
 SHAW    84     0     57   25.6    8.6    8.4   166   11.0    1.5   13.2    0.00   962.51   165   25.6    7.1   17.4   24.1   18.0   14.2   12.3    1.76    1.49    1.43
 SKIA    85     0     53   25.4    9.4    9.2   184   10.3    2.0   13.6    0.00   966.32   114   25.4    7.7   18.6   22.6   18.3   13.9   12.2    1.84    1.57    1.60
 SLAP    86     0      5   33.4   12.2   12.1   213    6.3    1.6   16.3    0.00   906.01   161   33.5    8.1   22.8   26.0   25.4   17.3   14.2    3.88    2.10    2.11
 SPEN    87     0     51   27.3   10.2    9.9   168   13.8    2.0   15.8    0.00   955.62   154   27.2    8.0   21.5   25.3   22.8   18.2   14.2    1.84    1.57    1.44
 STIG    88     0     49   25.9    8.3    8.2   179    6.9    1.3   12.0    0.00   982.33   122   26.6    6.2   18.2   20.2   18.9   14.5   12.5    1.57    1.35    1.34
 STIL    89     0     45   28.3    8.1    7.9   168   12.7    1.8   12.7    0.00   965.91   151   28.1    6.7   17.5   22.3   19.0   14.6   12.0    2.49    1.82    1.48
 STUA    90     0     56   24.9    9.9    9.7   178   11.7    2.0   15.6    0.00   972.49   129   25.0    8.3   17.8   20.1   20.1   15.1   13.1    1.49    1.37    1.41
 SULP    91     0     61   24.8   10.3   10.2   168    8.6    2.1   17.0    0.00   964.69   136   24.8    8.5   19.8   23.1   20.6   -998   -998    2.00    -998    -998
 TAHL    92     0     52   25.3    8.1    8.0   169    9.5    1.7   12.2    0.00   968.69   119   25.5    6.4   16.4   19.4   18.7   -998   -998    1.85    -998    -998
 TALA   138     0     55   25.3    9.9    9.8   178    5.8    1.0   12.7    0.00   972.89   146   25.4    8.0   14.3   20.7   16.3   11.9   10.6    1.37    1.40    1.47
 TALI    93     0     45   26.1   10.3   10.1   177   11.3    2.2   15.3    0.00   980.48   164   26.2    7.9   18.4   19.2   18.9   15.4   -998    1.35    1.39    -998
 TIPT    94     0     24   33.4   11.1   11.0   167    7.9    1.4   14.7    0.00   951.71   175   33.5    8.5   19.9   26.3   20.6   15.6   14.1    3.03    2.68    2.24
 TISH    95     0     59   25.1   10.2   10.1   166    8.0    1.5   14.4    0.00   971.28   140   25.0    7.9   18.8   20.9   18.7   15.6   -998    1.45    1.55    -998
